freq,indic_et,sitc06,partner,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,CONT_EXP_EU,TOTAL,EXT_EU27_2020,AT	2.4 	2.5 	2.4 	2.4 	2.4 	2.4 	2.4 	2.4 	2.4 	2.4 	2.5 	2.4 
A,CONT_EXP_EU,TOTAL,EXT_EU27_2020,BE	7.4 	7.5 	7.1 	7.1 	6.9 	6.7 	6.5 	6.7 	7.1 	7.4 	6.8 	6.3 
A,CONT_EXP_EU,TOTAL,EXT_EU27_2020,BG	0.5 	0.5 	0.5 	0.5 	0.5 	0.5 	0.5 	0.5 	0.5 	0.6 	0.6 	0.6 
A,CONT_EXP_EU,TOTAL,EXT_EU27_2020,CY	0.0 	0.1 	0.1 	0.1 	0.1 	0.2 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 
A,CONT_EXP_EU,TOTAL,EXT_EU27_2020,CZ	1.6 	1.7 	1.7 	1.7 	1.7 	1.7 	1.7 	1.8 	1.7 	1.7 	1.7 	1.9 
A,CONT_EXP_EU,TOTAL,EXT_EU27_2020,DE	30.4 	30.9 	31.6 	31.4 	31.0 	30.3 	29.6 	29.7 	29.0 	27.8 	27.9 	27.4 
A,CONT_EXP_EU,TOTAL,EXT_EU27_2020,DK	2.1 	2.1 	2.1 	2.1 	2.1 	2.1 	2.2 	2.4 	2.3 	2.2 	2.1 	2.2 
A,CONT_EXP_EU,TOTAL,EXT_EU27_2020,EE	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.3 	0.3 	0.2 	0.2 
A,CONT_EXP_EU,TOTAL,EXT_EU27_2020,EL	0.9 	0.8 	0.7 	0.7 	0.7 	0.8 	0.8 	0.7 	0.8 	1.0 	0.9 	0.9 
A,CONT_EXP_EU,TOTAL,EXT_EU27_2020,ES	5.9 	5.9 	5.7 	5.8 	5.8 	5.7 	5.6 	5.4 	5.6 	5.6 	5.6 	5.7 
A,CONT_EXP_EU,TOTAL,EXT_EU27_2020,EU27_2020	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
A,CONT_EXP_EU,TOTAL,EXT_EU27_2020,FI	1.6 	1.5 	1.3 	1.3 	1.4 	1.4 	1.4 	1.4 	1.4 	1.4 	1.3 	1.2 
A,CONT_EXP_EU,TOTAL,EXT_EU27_2020,FR	11.7 	11.4 	11.7 	11.5 	11.4 	11.4 	11.6 	10.3 	10.3 	10.1 	10.5 	10.6 
A,CONT_EXP_EU,TOTAL,EXT_EU27_2020,HR	0.2 	0.2 	0.2 	0.2 	0.3 	0.2 	0.2 	0.3 	0.3 	0.3 	0.3 	0.3 
A,CONT_EXP_EU,TOTAL,EXT_EU27_2020,HU	1.2 	1.1 	1.1 	1.1 	1.1 	1.1 	1.1 	1.2 	1.2 	1.2 	1.2 	1.3 
A,CONT_EXP_EU,TOTAL,EXT_EU27_2020,IE	2.9 	3.0 	3.6 	4.0 	3.8 	4.2 	4.5 	4.9 	4.6 	4.8 	4.4 	5.2 
A,CONT_EXP_EU,TOTAL,EXT_EU27_2020,IT	11.2 	11.2 	11.1 	11.0 	11.1 	11.0 	11.0 	11.0 	11.3 	11.5 	11.8 	11.8 
A,CONT_EXP_EU,TOTAL,EXT_EU27_2020,LT	0.7 	0.7 	0.5 	0.5 	0.6 	0.6 	0.6 	0.7 	0.7 	0.7 	0.6 	0.5 
A,CONT_EXP_EU,TOTAL,EXT_EU27_2020,LU	0.2 	0.2 	0.2 	0.2 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 
A,CONT_EXP_EU,TOTAL,EXT_EU27_2020,LV	0.2 	0.2 	0.2 	0.2 	0.2 	0.3 	0.2 	0.3 	0.3 	0.3 	0.3 	0.2 
A,CONT_EXP_EU,TOTAL,EXT_EU27_2020,MT	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 
A,CONT_EXP_EU,TOTAL,EXT_EU27_2020,NL	9.3 	9.2 	9.2 	9.3 	9.7 	10.2 	10.3 	10.4 	10.0 	10.2 	10.2 	10.2 
A,CONT_EXP_EU,TOTAL,EXT_EU27_2020,PL	2.7 	2.7 	2.6 	2.7 	2.8 	2.8 	2.9 	3.2 	3.3 	3.3 	3.5 	3.5 
A,CONT_EXP_EU,TOTAL,EXT_EU27_2020,PT	0.9 	0.9 	0.9 	0.9 	0.9 	0.8 	0.8 	0.8 	0.8 	0.9 	0.9 	0.9 
A,CONT_EXP_EU,TOTAL,EXT_EU27_2020,RO	1.0 	1.0 	0.9 	0.9 	0.9 	0.9 	0.9 	0.8 	0.9 	1.0 	1.0 	1.0 
A,CONT_EXP_EU,TOTAL,EXT_EU27_2020,SE	3.5 	3.4 	3.3 	3.2 	3.2 	3.2 	3.2 	3.4 	3.4 	3.4 	3.2 	3.2 
A,CONT_EXP_EU,TOTAL,EXT_EU27_2020,SI	0.4 	0.4 	0.4 	0.4 	0.4 	0.5 	0.5 	0.7 	0.7 	1.0 	1.1 	1.3 
A,CONT_EXP_EU,TOTAL,EXT_EU27_2020,SK	0.8 	0.7 	0.7 	0.7 	0.7 	0.7 	0.8 	0.8 	0.8 	0.8 	1.0 	0.9 
A,CONT_IMP_EU,TOTAL,EXT_EU27_2020,AT	2.1 	2.1 	2.1 	2.1 	2.1 	2.1 	2.0 	2.0 	2.1 	1.8 	2.0 	1.7 
A,CONT_IMP_EU,TOTAL,EXT_EU27_2020,BE	8.1 	8.4 	8.7 	8.8 	8.3 	8.1 	7.9 	7.8 	7.8 	8.2 	7.9 	7.3 
A,CONT_IMP_EU,TOTAL,EXT_EU27_2020,BG	0.7 	0.6 	0.6 	0.6 	0.6 	0.6 	0.7 	0.7 	0.7 	0.8 	0.8 	0.9 
A,CONT_IMP_EU,TOTAL,EXT_EU27_2020,CY	0.1 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.1 	0.2 	0.2 	0.2 
A,CONT_IMP_EU,TOTAL,EXT_EU27_2020,CZ	1.7 	1.8 	2.0 	1.9 	2.0 	2.1 	2.1 	2.4 	2.2 	2.1 	2.3 	2.5 
A,CONT_IMP_EU,TOTAL,EXT_EU27_2020,DE	21.8 	21.8 	22.2 	22.5 	21.9 	21.2 	21.0 	22.1 	20.6 	19.6 	18.8 	18.6 
A,CONT_IMP_EU,TOTAL,EXT_EU27_2020,DK	1.6 	1.6 	1.6 	1.6 	1.6 	1.5 	1.5 	1.6 	1.5 	1.4 	1.4 	1.6 
A,CONT_IMP_EU,TOTAL,EXT_EU27_2020,EE	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.3 	0.2 	0.1 	0.1 
A,CONT_IMP_EU,TOTAL,EXT_EU27_2020,EL	1.5 	1.5 	1.2 	1.2 	1.3 	1.4 	1.4 	1.2 	1.5 	1.8 	1.6 	1.7 
A,CONT_IMP_EU,TOTAL,EXT_EU27_2020,ES	7.7 	7.8 	7.5 	7.5 	7.8 	7.8 	7.8 	7.2 	7.6 	7.7 	7.7 	7.9 
A,CONT_IMP_EU,TOTAL,EXT_EU27_2020,EU27_2020	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
A,CONT_IMP_EU,TOTAL,EXT_EU27_2020,FI	1.3 	1.2 	1.0 	1.0 	1.1 	1.1 	1.1 	1.0 	1.0 	1.0 	0.9 	0.9 
A,CONT_IMP_EU,TOTAL,EXT_EU27_2020,FR	11.7 	11.3 	11.1 	11.1 	10.8 	10.6 	10.9 	10.0 	9.7 	10.0 	10.2 	10.4 
A,CONT_IMP_EU,TOTAL,EXT_EU27_2020,HR	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.4 	0.4 	0.4 	0.4 
A,CONT_IMP_EU,TOTAL,EXT_EU27_2020,HU	1.4 	1.3 	1.3 	1.3 	1.4 	1.5 	1.6 	1.7 	1.6 	1.7 	1.8 	1.6 
A,CONT_IMP_EU,TOTAL,EXT_EU27_2020,IE	2.3 	2.5 	2.8 	2.9 	2.9 	3.0 	2.9 	3.2 	3.0 	3.0 	3.4 	3.2 
A,CONT_IMP_EU,TOTAL,EXT_EU27_2020,IT	10.5 	10.0 	9.9 	9.7 	9.7 	9.8 	9.4 	9.1 	9.8 	10.7 	10.2 	9.9 
A,CONT_IMP_EU,TOTAL,EXT_EU27_2020,LT	0.7 	0.6 	0.5 	0.5 	0.5 	0.5 	0.6 	0.5 	0.6 	0.6 	0.5 	0.5 
A,CONT_IMP_EU,TOTAL,EXT_EU27_2020,LU	0.3 	0.3 	0.4 	0.3 	0.2 	0.1 	0.2 	0.1 	0.1 	0.1 	0.1 	0.1 
A,CONT_IMP_EU,TOTAL,EXT_EU27_2020,LV	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.3 	0.2 	0.2 	0.2 
A,CONT_IMP_EU,TOTAL,EXT_EU27_2020,MT	0.1 	0.1 	0.1 	0.2 	0.1 	0.1 	0.2 	0.1 	0.1 	0.1 	0.1 	0.1 
A,CONT_IMP_EU,TOTAL,EXT_EU27_2020,NL	16.4 	16.4 	16.6 	16.5 	17.0 	17.1 	17.5 	17.7 	17.8 	17.4 	18.2 	17.8 
A,CONT_IMP_EU,TOTAL,EXT_EU27_2020,PL	3.2 	3.4 	3.5 	3.4 	3.6 	3.9 	4.1 	4.3 	4.6 	4.4 	4.4 	4.7 
A,CONT_IMP_EU,TOTAL,EXT_EU27_2020,PT	1.1 	1.0 	1.0 	1.0 	1.0 	1.0 	1.1 	1.0 	1.0 	1.1 	1.1 	1.1 
A,CONT_IMP_EU,TOTAL,EXT_EU27_2020,RO	0.9 	1.0 	1.0 	1.1 	1.1 	1.2 	1.2 	1.2 	1.3 	1.2 	1.3 	1.4 
A,CONT_IMP_EU,TOTAL,EXT_EU27_2020,SE	2.8 	2.8 	2.7 	2.7 	2.6 	2.6 	2.5 	2.5 	2.5 	2.4 	2.3 	2.4 
A,CONT_IMP_EU,TOTAL,EXT_EU27_2020,SI	0.5 	0.5 	0.5 	0.5 	0.6 	0.6 	0.8 	0.9 	1.0 	1.1 	1.3 	1.9 
A,CONT_IMP_EU,TOTAL,EXT_EU27_2020,SK	1.0 	0.9 	0.9 	0.9 	0.9 	0.9 	0.9 	0.8 	0.9 	0.8 	0.9 	0.9 
A,MIO_BAL_VAL,TOTAL,EXT_EU27_2020,AT	8911.1 	10397.6 	10444.5 	10610.7 	9075.1 	9344.8 	11991.5 	11601.3 	9122.5 	5775.3 	12375.4 	20478.9 
A,MIO_BAL_VAL,TOTAL,EXT_EU27_2020,BE	-216.2 	-2158.3 	-10438.7 	-7930.4 	-9290.6 	-16083.5 	-14179.6 	-3358.2 	-10486.9 	-55615.6 	-24867.0 	-16448.5 
A,MIO_BAL_VAL,TOTAL,EXT_EU27_2020,BG	-1397.1 	-1682.4 	-1264.5 	-698.2 	-590.7 	-2254.5 	-2393.8 	-2305.3 	-3762.6 	-8163.5 	-3678.5 	-5897.0 
A,MIO_BAL_VAL,TOTAL,EXT_EU27_2020,CY	-866.3 	-1165.0 	-1071.9 	-1080.6 	-1742.5 	-1325.1 	-1495.9 	-1447.9 	-656.7 	-1391.8 	-1968.0 	-2169.4 
A,MIO_BAL_VAL,TOTAL,EXT_EU27_2020,CZ	1178.0 	903.3 	-938.3 	643.6 	-1795.2 	-5535.3 	-5020.4 	-6561.7 	-9618.8 	-20566.4 	-14440.2 	-11000.2 
A,MIO_BAL_VAL,TOTAL,EXT_EU27_2020,DE	185914.1 	201950.8 	225650.4 	224975.2 	228413.8 	218464.9 	224974.2 	194720.5 	195483.0 	126079.0 	241388.6 	255031.2 
A,MIO_BAL_VAL,TOTAL,EXT_EU27_2020,DK	11712.1 	10585.3 	11658.3 	13242.3 	13979.6 	13223.6 	17811.2 	19151.0 	17545.4 	14961.4 	18360.6 	17409.6 
A,MIO_BAL_VAL,TOTAL,EXT_EU27_2020,EE	785.6 	687.4 	443.9 	585.5 	742.7 	709.8 	624.7 	1065.0 	418.8 	917.2 	1583.6 	1475.7 
A,MIO_BAL_VAL,TOTAL,EXT_EU27_2020,EL	-9425.1 	-9675.7 	-7533.7 	-7203.2 	-7868.0 	-10039.1 	-11040.1 	-7882.2 	-13158.6 	-28682.7 	-18999.6 	-18664.0 
A,MIO_BAL_VAL,TOTAL,EXT_EU27_2020,ES	-19961.8 	-21734.1 	-16609.4 	-11825.1 	-23215.6 	-31060.6 	-31055.8 	-19022.0 	-39449.1 	-87916.8 	-49135.2 	-45619.4 
A,MIO_BAL_VAL,TOTAL,EXT_EU27_2020,EU27_2020	149369.3 	171399.4 	228216.3 	264390.3 	222168.0 	147615.3 	191124.7 	216707.6 	56816.4 	-436149.5 	34445.7 	147031.0 
A,MIO_BAL_VAL,TOTAL,EXT_EU27_2020,FI	6433.0 	6696.6 	8442.7 	7591.8 	7625.7 	7611.1 	9249.9 	9534.4 	8346.7 	4291.7 	10410.0 	8701.1 
A,MIO_BAL_VAL,TOTAL,EXT_EU27_2020,FR	17398.3 	21171.2 	37775.3 	38313.7 	35574.1 	31674.7 	35802.6 	26181.1 	18764.2 	-41266.0 	11029.7 	20313.3 
A,MIO_BAL_VAL,TOTAL,EXT_EU27_2020,HR	-1858.4 	-336.4 	-164.1 	-298.2 	163.6 	-657.6 	-154.4 	-476.9 	-1479.4 	-5237.3 	-2204.6 	-1352.9 
A,MIO_BAL_VAL,TOTAL,EXT_EU27_2020,HU	-1577.8 	-1219.2 	-806.3 	179.5 	-2204.2 	-4594.4 	-6440.4 	-7028.9 	-8564.6 	-18476.1 	-12755.2 	-6158.7 
A,MIO_BAL_VAL,TOTAL,EXT_EU27_2020,IE	14110.1 	13637.4 	22196.1 	27864.5 	24763.4 	28811.2 	39536.8 	39726.2 	36515.3 	31521.9 	26517.2 	57079.2 
A,MIO_BAL_VAL,TOTAL,EXT_EU27_2020,IT	29490.9 	37654.8 	44697.6 	50729.5 	50554.3 	39450.8 	52339.2 	56383.4 	37948.4 	-25847.1 	45603.8 	65075.2 
A,MIO_BAL_VAL,TOTAL,EXT_EU27_2020,LT	1122.3 	1922.2 	929.0 	2011.9 	2621.8 	2234.3 	2577.3 	4116.0 	2750.6 	-2562.3 	2242.7 	-841.1 
A,MIO_BAL_VAL,TOTAL,EXT_EU27_2020,LU	-1430.0 	-1292.5 	-2850.7 	-1689.6 	-947.0 	-92.7 	-632.9 	338.3 	235.8 	890.6 	999.0 	1006.1 
A,MIO_BAL_VAL,TOTAL,EXT_EU27_2020,LV	1054.1 	984.9 	866.1 	1047.0 	1109.7 	630.4 	1075.9 	1597.4 	871.2 	1750.7 	2809.6 	1969.5 
A,MIO_BAL_VAL,TOTAL,EXT_EU27_2020,MT	-31.2 	-1103.6 	-825.8 	-1169.1 	-1235.7 	-848.3 	-1766.9 	-762.4 	-1087.3 	-1760.1 	-1392.9 	-1302.2 
A,MIO_BAL_VAL,TOTAL,EXT_EU27_2020,NL	-102086.7 	-100845.0 	-101088.7 	-91358.5 	-106846.9 	-117964.4 	-119380.7 	-101848.3 	-159678.2 	-260337.5 	-197586.7 	-170171.2 
